Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,,Month,Sumber Poin,Total
LP-FUU7IV5BU8D-77,FUU7IV5BU8D,LOG-77,8/4/2024 12:31,Transfer ke Bank BRI (BI-Fast),2,Jumlah uang: 789988,7,8/4/2025 12:31,,,,
LP-8TB51RBIF7X-78,8TB51RBIF7X,LOG-78,8/4/2024 16:29,Pembayaran Virtual Account Bibit,1,Jumlah uang: 938318,7,8/4/2025 16:29,,,,
LP-A10BLCYC900-80,A10BLCYC900,LOG-80,8/4/2024 18:20,Pembayaran QRIS di Circle K,1,Jumlah uang: 32174,4,8/4/2025 18:20,,,,
LP-NU9QMRMOKTC-83,NU9QMRMOKTC,LOG-83,8/4/2024 20:53,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 727411,6,8/4/2025 20:53,,,,
LP-SMI06O0GLY6-85,SMI06O0GLY6,LOG-85,8/4/2024 21:42,Transfer ke Bank BSI (BI-Fast),1,Jumlah uang: 926278,3,8/4/2025 21:42,,,,
LP-XQ6HQIGI3JX-88,XQ6HQIGI3JX,LOG-88,8/4/2024 23:20,BPJS,1,Jumlah uang: 71979,3,8/4/2025 23:20,,,,
LP-NU9QMRMOKTC-89,NU9QMRMOKTC,LOG-89,8/5/2024 1:46,IndiHome,1,Jumlah uang: 529113,7,8/5/2025 1:46,,,,
LP-8TB51RBIF7X-90,8TB51RBIF7X,LOG-90,8/5/2024 1:47,Pembayaran Virtual Account Bibit,1,Jumlah uang: 539817,8,8/5/2025 1:47,,,,
LP-5KPJMHMXP61-91,5KPJMHMXP61,LOG-91,8/5/2024 2:21,PDAM,1,Jumlah uang: 64850,6,8/5/2025 2:21,,,,
LP-A10BLCYC900-92,A10BLCYC900,LOG-92,8/5/2024 4:53,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 917242,5,8/5/2025 4:53,,,,
LP-7O97RRUP79D-93,7O97RRUP79D,LOG-93,8/5/2024 5:01,Transfer ke Bank BTN (Non BI-Fast),1,Jumlah uang: 229530,8,8/5/2025 5:01,,,,
LP-NU9QMRMOKTC-95,NU9QMRMOKTC,LOG-95,8/5/2024 6:25,Transfer ke Bank Mandiri (Non BI-Fast),1,Jumlah uang: 58451,8,8/5/2025 6:25,,,,
LP-5H1TZ6CG4UM-96,5H1TZ6CG4UM,LOG-96,8/5/2024 7:13,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 112297,6,8/5/2025 7:13,,,,
LP-FUU7IV5BU8D-97,FUU7IV5BU8D,LOG-97,8/5/2024 7:49,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 297282,8,8/5/2025 7:49,,,,
LP-7O97RRUP79D-98,7O97RRUP79D,LOG-98,8/5/2024 8:14,Pembayaran Virtual Account Bibit,1,Jumlah uang: 311318,9,8/5/2025 8:14,,,,
LP-FUU7IV5BU8D-99,FUU7IV5BU8D,LOG-99,8/5/2024 8:16,Top Up ShopeePay,2,Jumlah uang: 45275,10,8/5/2025 8:16,,,,
LP-7O97RRUP79D-100,7O97RRUP79D,LOG-100,8/5/2024 9:04,Top Up GoPay,2,Jumlah uang: 80005,11,8/5/2025 9:04,,,,
LP-7O97RRUP79D-101,7O97RRUP79D,LOG-101,8/5/2024 10:09,Pembayaran Virtual Account Bibit,1,Jumlah uang: 505642,12,8/5/2025 10:09,,,,
LP-5KPJMHMXP61-103,5KPJMHMXP61,LOG-103,8/5/2024 13:41,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 199691,7,8/5/2025 13:41,,,,
LP-XQ6HQIGI3JX-104,XQ6HQIGI3JX,LOG-104,8/5/2024 14:12,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 70135,4,8/5/2025 14:12,,,,
LP-QX2FG9YB3ZG-105,QX2FG9YB3ZG,LOG-105,8/5/2024 15:55,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 878146,6,8/5/2025 15:55,,,,
LP-TDXXP45N2PU-106,TDXXP45N2PU,LOG-106,8/5/2024 17:43,Transfer ke Bank BRI (Non BI-Fast),2,Jumlah uang: 778665,5,8/5/2025 17:43,,,,
LP-NU9QMRMOKTC-107,NU9QMRMOKTC,LOG-107,8/5/2024 18:55,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 782353,9,8/5/2025 18:55,,,,
LP-2PNKXNUSK1V-108,2PNKXNUSK1V,LOG-108,8/5/2024 20:00,Top Up OVO,2,Jumlah uang: 199633,2,8/5/2025 20:00,,,,
LP-O70ABYZUZV5-109,O70ABYZUZV5,LOG-109,8/5/2024 20:14,Pembayaran Virtual Account Bibit,1,Jumlah uang: 51526,5,8/5/2025 20:14,,,,
LP-XQ6HQIGI3JX-110,XQ6HQIGI3JX,LOG-110,8/5/2024 23:46,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 54717,5,8/5/2025 23:46,,,,
LP-7O97RRUP79D-111,7O97RRUP79D,LOG-111,8/6/2024 1:08,Pembayaran QRIS di Circle K,1,Jumlah uang: 57570,13,8/6/2025 1:08,,,,
LP-XLR1G4HMN21-112,XLR1G4HMN21,LOG-112,8/6/2024 1:13,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 167789,4,8/6/2025 1:13,,,,
LP-2PNKXNUSK1V-113,2PNKXNUSK1V,LOG-113,8/6/2024 8:47,Pembayaran Virtual Account Bibit,1,Jumlah uang: 665320,3,8/6/2025 8:47,,,,
LP-5KPJMHMXP61-115,5KPJMHMXP61,LOG-115,8/6/2024 12:25,Top Up ShopeePay,2,Jumlah uang: 105422,9,8/6/2025 12:25,,,,
LP-XQ6HQIGI3JX-116,XQ6HQIGI3JX,LOG-116,8/6/2024 13:44,Top Up LinkAja,2,Jumlah uang: 77503,7,8/6/2025 13:44,,,,
LP-NU9QMRMOKTC-118,NU9QMRMOKTC,LOG-118,8/6/2024 14:48,Top Up DANA,2,Jumlah uang: 88093,11,8/6/2025 14:48,,,,
LP-TDXXP45N2PU-119,TDXXP45N2PU,LOG-119,8/6/2024 16:25,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 40166,7,8/6/2025 16:25,,,,
LP-V629IE46K90-120,V629IE46K90,LOG-120,8/6/2024 16:25,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 59668,4,8/6/2025 16:25,,,,
LP-A10BLCYC900-121,A10BLCYC900,LOG-121,8/6/2024 17:27,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 310315,6,8/6/2025 17:27,,,,
LP-5HHIFOTVV0X-123,5HHIFOTVV0X,LOG-123,8/6/2024 17:41,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 594146,6,8/6/2025 17:41,,,,
LP-QX2FG9YB3ZG-124,QX2FG9YB3ZG,LOG-124,8/6/2024 17:46,Top Up GoPay,2,Jumlah uang: 169525,8,8/6/2025 17:46,,,,
LP-SUKK8F1TFQ1-125,SUKK8F1TFQ1,LOG-125,8/6/2024 19:09,Pembayaran QRIS di Indomart,1,Jumlah uang: 42933,4,8/6/2025 19:09,,,,
LP-V629IE46K90-126,V629IE46K90,LOG-126,8/6/2024 19:12,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 37671,5,8/6/2025 19:12,,,,
LP-0LQ9UVUQE5F-127,0LQ9UVUQE5F,LOG-127,8/6/2024 21:05,Transfer ke Bank OCBC (BI-Fast),1,Jumlah uang: 393027,4,8/6/2025 21:05,,,,
LP-5KPJMHMXP61-129,5KPJMHMXP61,LOG-129,8/6/2024 22:21,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 80131,10,8/6/2025 22:21,,,,
LP-NU9QMRMOKTC-131,NU9QMRMOKTC,LOG-131,8/6/2024 22:50,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 36202,12,8/6/2025 22:50,,,,
LP-A10BLCYC900-132,A10BLCYC900,LOG-132,8/6/2024 22:58,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 201710,7,8/6/2025 22:58,,,,
LP-NU9QMRMOKTC-133,NU9QMRMOKTC,LOG-133,8/6/2024 23:15,Top Up OVO,2,Jumlah uang: 48629,14,8/6/2025 23:15,,,,
LP-XQ6HQIGI3JX-134,XQ6HQIGI3JX,LOG-134,8/7/2024 0:17,Transfer ke Bank Sinarmas (Non BI-Fast),1,Jumlah uang: 125131,8,8/7/2025 0:17,,,,
LP-SUKK8F1TFQ1-136,SUKK8F1TFQ1,LOG-136,8/7/2024 0:46,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 81659,5,8/7/2025 0:46,,,,
LP-QX2FG9YB3ZG-137,QX2FG9YB3ZG,LOG-137,8/7/2024 1:02,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 478443,9,8/7/2025 1:02,,,,
LP-8TB51RBIF7X-138,8TB51RBIF7X,LOG-138,8/7/2024 1:45,Top Up OVO,2,Jumlah uang: 166440,10,8/7/2025 1:45,,,,
LP-TDXXP45N2PU-139,TDXXP45N2PU,LOG-139,8/7/2024 2:43,Top Up LinkAja,2,Jumlah uang: 104271,9,8/7/2025 2:43,,,,
LP-A10BLCYC900-140,A10BLCYC900,LOG-140,8/7/2024 4:15,Transfer ke Bank BTPN (BI-Fast),1,Jumlah uang: 516219,8,8/7/2025 4:15,,,,
LP-5KPJMHMXP61-141,5KPJMHMXP61,LOG-141,8/7/2024 8:27,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 938577,11,8/7/2025 8:27,,,,
LP-7O97RRUP79D-142,7O97RRUP79D,LOG-142,8/7/2024 8:41,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 79778,14,8/7/2025 8:41,,,,
LP-5H1TZ6CG4UM-143,5H1TZ6CG4UM,LOG-143,8/7/2024 10:21,Top Up GoPay,2,Jumlah uang: 149308,8,8/7/2025 10:21,,,,
LP-FUU7IV5BU8D-144,FUU7IV5BU8D,LOG-144,8/7/2024 10:34,Three,1,Jumlah uang: 118358,11,8/7/2025 10:34,,,,
LP-5H1TZ6CG4UM-145,5H1TZ6CG4UM,LOG-145,8/7/2024 10:44,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 652014,9,8/7/2025 10:44,,,,
LP-XQ6HQIGI3JX-147,XQ6HQIGI3JX,LOG-147,8/7/2024 13:19,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 212891,9,8/7/2025 13:19,,,,
LP-NU9QMRMOKTC-149,NU9QMRMOKTC,LOG-149,8/7/2024 16:01,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 873203,16,8/7/2025 16:01,,,,
LP-FUU7IV5BU8D-150,FUU7IV5BU8D,LOG-150,8/7/2024 17:03,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 411083,12,8/7/2025 17:03,,,,
LP-XQ6HQIGI3JX-152,XQ6HQIGI3JX,LOG-152,8/7/2024 18:22,Pembayaran Virtual Account PDAM,1,Jumlah uang: 248014,10,8/7/2025 18:22,,,,
LP-NU9QMRMOKTC-154,NU9QMRMOKTC,LOG-154,8/7/2024 19:23,Top Up OVO,2,Jumlah uang: 191149,18,8/7/2025 19:23,,,,
LP-A10BLCYC900-155,A10BLCYC900,LOG-155,8/7/2024 22:02,Pembayaran Virtual Account PDAM,1,Jumlah uang: 441857,9,8/7/2025 22:02,,,,
LP-XQ6HQIGI3JX-156,XQ6HQIGI3JX,LOG-156,8/8/2024 0:23,Pembayaran Virtual Account Bibit,1,Jumlah uang: 596848,11,8/8/2025 0:23,,,,
LP-5HHIFOTVV0X-159,5HHIFOTVV0X,LOG-159,8/8/2024 3:35,Smartfren,1,Jumlah uang: 45916,7,8/8/2025 3:35,,,,
LP-5HHIFOTVV0X-161,5HHIFOTVV0X,LOG-161,8/8/2024 4:32,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 622479,8,8/8/2025 4:32,,,,
LP-V629IE46K90-163,V629IE46K90,LOG-163,8/8/2024 5:06,Pembayaran Virtual Account PDAM,1,Jumlah uang: 734335,6,8/8/2025 5:06,,,,
LP-2PNKXNUSK1V-164,2PNKXNUSK1V,LOG-164,8/8/2024 8:28,Pembayaran Virtual Account Bibit,1,Jumlah uang: 196390,4,8/8/2025 8:28,,,,
LP-TDXXP45N2PU-165,TDXXP45N2PU,LOG-165,8/8/2024 8:54,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 89382,10,8/8/2025 8:54,,,,
LP-SMI06O0GLY6-166,SMI06O0GLY6,LOG-166,8/8/2024 8:58,Pembayaran QRIS di Circle K,1,Jumlah uang: 69740,4,8/8/2025 8:58,,,,
LP-5H1TZ6CG4UM-167,5H1TZ6CG4UM,LOG-167,8/8/2024 10:27,Top Up ShopeePay,2,Jumlah uang: 39228,11,8/8/2025 10:27,,,,
LP-5KPJMHMXP61-168,5KPJMHMXP61,LOG-168,8/8/2024 13:14,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 59218,12,8/8/2025 13:14,,,,
LP-NU9QMRMOKTC-170,NU9QMRMOKTC,LOG-170,8/8/2024 17:45,Pembayaran QRIS di Alfamart,1,Jumlah uang: 71174,19,8/8/2025 17:45,,,,
LP-8TB51RBIF7X-171,8TB51RBIF7X,LOG-171,8/8/2024 18:06,Top Up GoPay,2,Jumlah uang: 90025,12,8/8/2025 18:06,,,,
LP-FUU7IV5BU8D-172,FUU7IV5BU8D,LOG-172,8/8/2024 19:20,XL,1,Jumlah uang: 84092,13,8/8/2025 19:20,,,,
LP-5KPJMHMXP61-173,5KPJMHMXP61,LOG-173,8/8/2024 19:43,Transfer ke Bank BTN (Non BI-Fast),1,Jumlah uang: 291773,13,8/8/2025 19:43,,,,
LP-V629IE46K90-174,V629IE46K90,LOG-174,8/8/2024 20:03,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 707085,8,8/8/2025 20:03,,,,
LP-FUU7IV5BU8D-175,FUU7IV5BU8D,LOG-175,8/9/2024 0:59,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 514748,15,8/9/2025 0:59,,,,
LP-NU9QMRMOKTC-176,NU9QMRMOKTC,LOG-176,8/9/2024 1:17,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 42894,20,8/9/2025 1:17,,,,
LP-7O97RRUP79D-178,7O97RRUP79D,LOG-178,8/9/2024 1:36,Top Up OVO,2,Jumlah uang: 64156,16,8/9/2025 1:36,,,,
LP-A10BLCYC900-179,A10BLCYC900,LOG-179,8/9/2024 2:14,Pembayaran Virtual Account Bibit,1,Jumlah uang: 278261,10,8/9/2025 2:14,,,,
LP-TDXXP45N2PU-180,TDXXP45N2PU,LOG-180,8/9/2024 3:32,Transfer ke Bank BSI (BI-Fast),1,Jumlah uang: 510783,11,8/9/2025 3:32,,,,
LP-V629IE46K90-181,V629IE46K90,LOG-181,8/9/2024 4:33,Pajak Mobil,1,Jumlah uang: 6809380,9,8/9/2025 4:33,,,,
LP-XLR1G4HMN21-182,XLR1G4HMN21,LOG-182,8/9/2024 5:21,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 969647,5,8/9/2025 5:21,,,,
LP-FUU7IV5BU8D-184,FUU7IV5BU8D,LOG-184,8/9/2024 6:27,IndiHome,1,Jumlah uang: 578491,16,8/9/2025 6:27,,,,
LP-A10BLCYC900-185,A10BLCYC900,LOG-185,8/9/2024 7:44,Pembayaran Virtual Account Bibit,1,Jumlah uang: 309419,11,8/9/2025 7:44,,,,
LP-7O97RRUP79D-186,7O97RRUP79D,LOG-186,8/9/2024 7:52,Three,1,Jumlah uang: 155943,17,8/9/2025 7:52,,,,
LP-QX2FG9YB3ZG-187,QX2FG9YB3ZG,LOG-187,8/9/2024 8:16,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 42567,10,8/9/2025 8:16,,,,
LP-QX2FG9YB3ZG-189,QX2FG9YB3ZG,LOG-189,8/9/2024 10:13,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 77110,11,8/9/2025 10:13,,,,
LP-FUU7IV5BU8D-190,FUU7IV5BU8D,LOG-190,8/9/2024 11:00,Transfer ke Bank CIMB Niaga (BI-Fast),2,Jumlah uang: 572306,18,8/9/2025 11:00,,,,
LP-QX2FG9YB3ZG-192,QX2FG9YB3ZG,LOG-192,8/9/2024 16:01,Transfer ke Bank BTPN (Non BI-Fast),1,Jumlah uang: 854738,12,8/9/2025 16:01,,,,
LP-O70ABYZUZV5-193,O70ABYZUZV5,LOG-193,8/9/2024 17:11,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 40561,6,8/9/2025 17:11,,,,
LP-FUU7IV5BU8D-194,FUU7IV5BU8D,LOG-194,8/9/2024 18:39,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 51546,19,8/9/2025 18:39,,,,
LP-8TB51RBIF7X-195,8TB51RBIF7X,LOG-195,8/9/2024 18:42,Pembayaran Virtual Account Bibit,1,Jumlah uang: 455234,13,8/9/2025 18:42,,,,
LP-TDXXP45N2PU-196,TDXXP45N2PU,LOG-196,8/9/2024 18:48,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 97975,12,8/9/2025 18:48,,,,
LP-A10BLCYC900-199,A10BLCYC900,LOG-199,8/9/2024 20:18,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 90873,12,8/9/2025 20:18,,,,
LP-2PNKXNUSK1V-200,2PNKXNUSK1V,LOG-200,8/9/2024 20:21,Pembayaran Virtual Account PDAM,1,Jumlah uang: 570661,5,8/9/2025 20:21,,,,
